"Word","WordOrder","Participant","Position","Filename","Vowel","Notes","vowel","penult","ult","focus","final","condition","tex_position","answer_1","answer_2","answer_3","answer_4","notes","Duration","f0.1","f0.2","f0.3","f0.4","f0.5","f0.6","f0.7","H1H2","Intensity","SpectralBalance","PositionFactor","FinalFactor","FocusFactor","poly0","poly1","poly2","poly3","Factor1","Factor2","Factor3"
"titi",221,"S5_",1,"PSE-20150315_S5_F.WAV","i","","i","light","light","yes","yes","b","right","duduk","titi",NA,NA,"",0.0672456198135478,284.825558246092,283.332861056664,284.118381005379,284.518892468115,284.438822259309,283.705528216177,280.725679142225,11.9170619323614,76.4508517828019,35.3988465813449,"Initial","sentence final","focus",287.779929146976,-4.33693788776661,1.40729354475878,-0.133138542147497,0.116228336919092,1.00683693148392,0.468128011915043
"titi",221,"S5_",2,"PSE-20150315_S5_F.WAV","i","","i","light","light","yes","yes","b","right","duduk","titi",NA,NA,"",0.163915467513334,225.479065205144,206.745336233982,187.981263537865,175.239423798753,165.464050578143,158.903730958263,152.346881374743,2.16254938605264,71.5689296142038,36.7152031409136,"Final","sentence final","focus",251.000911601482,-27.3904563068584,2.44631347637233,-0.0770379331933308,-0.772576217703111,-0.826824088819532,-2.39478070692536
"titi",221,"S6_",1,"PSE-20150315_S6_F.WAV","i","","i","light","light","yes","no","a","right","batang","titi",NA,NA,"",0.0840651596081443,245.692331745731,239.186877232239,236.563117420419,235.00217503955,233.333135039463,231.434021132957,228.542612794289,6.2639647352897,78.7505884477199,30.4182843115544,"Initial","sentence medial","focus",254.940650042739,-11.5754473096596,2.31130855185672,-0.171302235311221,-0.308833666461979,0.0180396627866138,-0.067585953786082
"titi",221,"S6_",2,"PSE-20150315_S6_F.WAV","i","","i","light","light","yes","no","a","right","batang","titi",NA,NA,"",0.157978030093773,260.33999629076,252.039239381783,245.754380870378,240.692026669814,235.858211082711,229.260892516772,219.739774119566,10.8859708637972,78.5387370745739,25.9333829307548,"Final","sentence medial","focus",272.744422729396,-14.6705973111509,2.55610385751845,-0.22015848662544,-0.423476622427478,0.751770215326313,-0.303209682516833
"titi",22,"S16",1,"PSE-20150318-S16_F.WAV","i","","i","light","light","no","yes","d","bottom","kidau","kanan","pucuk","bawah","",0.0533220812180559,244.326756207542,228.202389648791,219.844471285171,217.222371754176,216.115461076845,213.803677871695,211.094182813357,12.54002194052,72.708146510885,31.6078312807909,"Initial","sentence final","no focus",269.84326220939,-31.4807920788188,6.22941964817972,-0.419579205798963,-1.5694646336063,0.906964501352891,-0.956795457898767
"titi",22,"S16",2,"PSE-20150318-S16_F.WAV","i","","i","light","light","no","yes","d","bottom","kidau","kanan","pucuk","bawah","",0.302668139184789,214.978437030313,210.516029118356,208.429726816597,211.0177230282,212.611182596848,205.377797634872,198.737933000695,9.28528270849622,76.0774687534009,33.1828135917632,"Final","sentence final","no focus",226.408525226864,-15.6868897555488,4.63491217786524,-0.424548009066246,-0.900687636481059,0.514492814339766,0.714421618258478
"titi",22,"S5_",1,"PSE-20150315_S5_F.WAV","i","","i","light","light","no","no","c","top","kidau","kanan","pucuk","bawah","",0.0682147148653485,206.367455515961,197.898753429617,194.212727463084,191.086211658678,187.77692771227,184.8163812897,182.48204439271,11.4109143677661,72.2544256315104,35.1533151557337,"Initial","sentence medial","no focus",216.200234410377,-11.9290363234869,1.85971887968017,-0.121312200903328,-0.168257456094958,0.841955455747195,-0.46162249891225
"titi",22,"S5_",2,"PSE-20150315_S5_F.WAV","i","","i","light","light","no","no","c","top","kidau","kanan","pucuk","bawah","",0.106163423629653,254.347173550848,259.26720015403,263.913355771095,268.078059813252,270.406887958383,270.263606574413,265.524438257593,13.8670778382497,75.9625617818889,32.0416869166295,"Final","sentence medial","no focus",251.150912691224,2.25549093789921,1.20047568841293,-0.175352052803496,0.334513685509356,1.39287902973017,1.38252152314027
"titi",234,"S6_",1,"PSE-20150315_S6_F.WAV","i","","i","light","light","yes","no","a","right","ayam","titi",NA,NA,"",0.0705790082304247,232.330642178211,229.570168949169,227.153736611318,224.973794000263,223.136618187159,221.320072499142,219.167108574886,6.18598717928418,76.2504125202241,32.5195039651608,"Initial","sentence medial","focus",235.808113943901,-3.8041865290737,0.378802830772494,-0.0248977424760797,0.298503018031793,0.0483568043966903,-0.0160568560908026
"titi",234,"S6_",2,"PSE-20150315_S6_F.WAV","i","","i","light","light","yes","no","a","right","ayam","titi",NA,NA,"",0.115450234166474,248.460712916164,246.75564393502,244.012970855287,240.944490176797,237.642173110194,231.621897882655,219.07055786507,8.96514406137532,75.9738855723827,26.7012640319051,"Final","sentence medial","focus",253.918491688897,-6.66809641302509,1.78226281433738,-0.219044757045438,-0.0921593866200558,0.511730384242565,0.536674387149398
