WordOrder	Word	Participant	Position	Vowel	Weight	Focus	Final	Duration	F0	H1H2	Intensity	SpectralBalance
75	pipis	S1	ultima	i	light	out-of-focus	non-final	0.143291547467697	302.057827051682	2.38944123522815	77.6560272533288	28.7992544824452
76	pipis	S1	penult	i	light	out-of-focus	non-final	0.082128954764244	235.818411538599	4.04690408593653	78.4255088646975	34.2825480059388
76	pipis	S1	ultima	i	light	out-of-focus	non-final	0.118920485992703	286.967030150897	-0.436669297093438	81.9880740557894	28.9319605512078
78	cingki	S1	penult	i	heavy	out-of-focus	non-final	0.090368008509131	240.40842947286	7.22152683684169	75.523597915478	32.796001501952
78	cingki	S1	ultima	i	heavy	out-of-focus	non-final	0.095715891388466	286.96961584233	10.953811391749	75.9967930570163	30.7784826315364
79	cingki	S1	penult	i	heavy	out-of-focus	non-final	0.102270308791162	242.069763530299	9.05641545950424	75.2354578108545	30.0054291192002
79	cingki	S1	ultima	i	heavy	out-of-focus	non-final	0.13849967349995	306.918143828858	6.94270743939215	77.0864663426767	30.8174404704674
80	cingki	S1	penult	i	heavy	out-of-focus	non-final	0.087739714390011	236.823251142975	9.23538336718055	74.152027055587	27.3006746935134
80	cingki	S1	ultima	i	heavy	out-of-focus	non-final	0.105049637489742	305.973041161321	12.1880096266646	76.7603513620219	34.442460679606
81	cingki	S1	penult	i	heavy	out-of-focus	non-final	0.120968094929481	228.518075394236	8.27025685685281	75.3644411369062	33.2391225343096
81	cingki	S1	ultima	i	heavy	out-of-focus	non-final	0.153307173374799	298.039727061907	12.5427355624221	78.4951875500052	27.6974425443444
83	tuntun	S1	penult	u	heavy	out-of-focus	non-final	0.100268916971856	236.322912183902	3.70959873919754	75.0023006864842	41.4662681412097
83	tuntun	S1	ultima	u	heavy	out-of-focus	non-final	0.113637648897452	285.789492808946	4.92684649996527	77.9981492038397	34.8395581945735
84	tuntun	S1	penult	u	heavy	out-of-focus	non-final	0.106878645496749	241.090458107921	4.78823001873022	74.5648567647849	38.1179104077625
84	tuntun	S1	ultima	u	heavy	out-of-focus	non-final	0.097908239871344	298.263895616508	4.30087260055546	78.0139142557401	30.1334960109049
85	tuntun	S1	penult	u	heavy	out-of-focus	non-final	0.085205421459875	231.175086437376	4.73251380203428	75.0651741760723	38.3069546468904
85	tuntun	S1	ultima	u	heavy	out-of-focus	non-final	0.084431449024635	314.48314732665	7.25360147854673	76.9348767467788	31.2117466858242
86	tuntun	S1	penult	u	heavy	out-of-focus	non-final	0.083924713383112	223.281760057659	6.58055393344549	74.4598144835366	39.6118416682791
86	tuntun	S1	ultima	u	heavy	out-of-focus	non-final	0.087769888386163	297.980615254663	5.74359573901608	77.8975352284203	32.368502813496
88	titi	S1	penult	i	light	out-of-focus	non-final	0.083859780081411	233.660297031985	7.45687714470267	74.2455469297559	34.4317749305958
88	titi	S1	ultima	i	light	out-of-focus	non-final	0.139348917037296	287.126174309133	15.2372688223391	76.1309021357836	32.6993656018735
89	titi	S1	penult	i	light	out-of-focus	non-final	0.095656947901034	233.733786261327	5.14247867804372	75.2413469858473	33.2634366662253
89	titi	S1	ultima	i	light	out-of-focus	non-final	0.129965471128457	288.612887481381	9.68620784862415	76.9447939684246	24.6524781059261
90	titi	S1	penult	i	light	out-of-focus	non-final	0.096071525219429	236.266547604759	5.56249582135971	74.6859289499839	35.6669777191753
90	titi	S1	ultima	i	light	out-of-focus	non-final	0.153487637564012	300.103202303795	12.313916724592	77.4008711027606	28.8999149013355
91	titi	S1	penult	i	light	out-of-focus	non-final	0.085064897544157	242.071132336389	4.12554253663787	77.6624557551888	35.3917946558711
91	titi	S1	ultima	i	light	out-of-focus	non-final	0.116846869069946	294.370543859811	12.6103645121436	77.8469499657191	23.3914458905822
93	susu	S1	penult	u	light	out-of-focus	non-final	0.100477262668278	280.230449247654	9.00944460514268	75.9603633898207	28.6394285163924
93	susu	S1	ultima	u	light	out-of-focus	non-final	0.114980251985571	319.885733308156	10.7573139019817	75.5512172144643	25.9155864834502
94	susu	S1	penult	u	light	out-of-focus	non-final	0.098118533225716	246.690851183309	5.74186762239898	75.1031984257511	32.5664100890649
94	susu	S1	ultima	u	light	out-of-focus	non-final	0.106876946260968	321.765414411205	13.4957314411422	73.7026353655715	35.0227828195698
95	susu	S1	penult	u	light	out-of-focus	non-final	0.094804020716538	257.783719829276	8.30460612613982	73.6931270686644	33.1474555164769
95	susu	S1	ultima	u	light	out-of-focus	non-final	0.187148251637836	319.956880887503	11.2109277731004	77.2950159499195	32.8283538818871
96	susu	S1	penult	u	light	out-of-focus	non-final	0.120978275657649	259.988464923539	4.11242036306865	74.9085125550153	29.0939422101741
96	susu	S1	ultima	u	light	out-of-focus	non-final	0.107600489603101	305.059500737916	8.46828633157137	74.4007577220956	28.4493467522517
98	tutus	S1	penult	u	light	out-of-focus	non-final	0.084519447643743	244.348589460321	0.738476242362289	76.4202532160908	38.32054923868
98	tutus	S1	ultima	u	light	out-of-focus	non-final	0.182489618575573	308.047301573986	1.07994225794919	76.247795127626	32.9699137256103
99	tutus	S1	penult	u	light	out-of-focus	non-final	0.065780205140982	237.77010541878	-0.319701193455352	76.3889895630696	35.9455354027854
99	tutus	S1	ultima	u	light	out-of-focus	non-final	0.079761240314269	287.144768500631	-0.222101127112069	78.0879627858724	27.437248928511
100	tutus	S1	penult	u	light	out-of-focus	non-final	0.078309378220638	236.991448883509	0.460656565576208	74.6165851651758	36.4906342160704
100	tutus	S1	ultima	u	light	out-of-focus	non-final	0.154273958629119	303.979187869662	-0.973755545268595	75.1366183352616	29.4872117609356
101	tutus	S1	penult	u	light	out-of-focus	non-final	0.078289965603744	240.892681682931	0.059224090720079	75.4156235781353	36.8642302655792
101	tutus	S1	ultima	u	light	out-of-focus	non-final	0.113493463942859	304.291665327496	3.50213000706776	76.3926917221175	34.3258187696083
103	cete	S1	penult	e	light	out-of-focus	non-final	0.070361945255854	238.528835993263	-1.56614005665772	79.2965220925025	35.8022732083894
103	cete	S1	ultima	e	light	out-of-focus	non-final	0.240777093003771	309.776615302526	3.51846398692389	77.9197596089115	32.1268291992478
104	cete	S1	penult	e	light	out-of-focus	non-final	0.055187995755091	232.338411256282	-0.355838290958708	77.5348104357179	36.4256238787433
104	cete	S1	ultima	e	light	out-of-focus	non-final	0.088769726077658	279.28883456956	-0.191740466941177	78.1059614045843	29.0949697358389
105	cete	S1	penult	e	light	out-of-focus	non-final	0.052464218472437	243.152393778274	0.128315061549003	76.5113896037679	35.5359581903954
105	cete	S1	ultima	e	light	out-of-focus	non-final	0.084970687237046	295.491770251645	5.83133459696815	76.9088865821329	29.1123420428769
106	cete	S1	penult	e	light	out-of-focus	non-final	0.062850851194298	234.540741748424	1.99091746257748	76.7610970072818	39.7570297009627
106	cete	S1	ultima	e	light	out-of-focus	non-final	0.090315396462302	293.863729826882	4.9036218582169	77.7714463676628	33.9925433486149
108	pantas	S1	penult	a	heavy	out-of-focus	non-final	0.071875963907246	232.365520671543	8.38868054620973	78.1580613022283	35.1734001757169
108	pantas	S1	ultima	a	heavy	out-of-focus	non-final	0.08857826850101	287.066135153984	3.04212233723213	79.0962185665297	33.790166294568
109	pantas	S1	penult	a	heavy	out-of-focus	non-final	0.074514084625434	225.084903429846	6.95778787492542	77.689542883479	35.7580199206376
109	pantas	S1	ultima	a	heavy	out-of-focus	non-final	0.10116288258746	284.18168238905	3.79242775092063	78.1840300074204	32.2945958989401
110	pantas	S1	penult	a	heavy	out-of-focus	non-final	0.075304051352191	223.007260807501	6.50928774447092	77.4342271361121	33.9766602591695
110	pantas	S1	ultima	a	heavy	out-of-focus	non-final	0.113574715290497	293.475533192994	4.30072561917144	77.370672663369	31.7133104029048
111	pantas	S1	penult	a	heavy	out-of-focus	non-final	0.079913952084894	219.17847950072	5.37467273648299	78.1975199814188	31.5018499514829
111	pantas	S1	ultima	a	heavy	out-of-focus	non-final	0.119373467705827	278.395197890873	3.55476267889386	80.4391390216983	31.5612823999762
113	sinting	S1	penult	i	heavy	out-of-focus	non-final	0.077094827604697	241.541645987268	5.57954829044527	74.4941693456728	31.3283554519417
113	sinting	S1	ultima	i	heavy	out-of-focus	non-final	0.138633496868124	299.640614166423	3.27617993143252	79.3625974520792	29.3416523878307
114	sinting	S1	penult	i	heavy	out-of-focus	non-final	0.075523316448994	234.174061989702	5.48501174285912	75.3797966328102	36.6300828106775
114	sinting	S1	ultima	i	heavy	out-of-focus	non-final	0.135422701323023	276.710803220117	0.776215684442157	79.4213340654612	29.0790230414374
115	sinting	S1	penult	i	heavy	out-of-focus	non-final	0.089284389771365	232.239717246314	8.93570264266417	74.0143206103291	34.3029616349536
115	sinting	S1	ultima	i	heavy	out-of-focus	non-final	0.10712403248931	275.729546226491	1.82795761978243	81.0171757544519	28.9772545174286
116	sinting	S1	penult	i	heavy	out-of-focus	non-final	0.080795342323654	226.703191874229	8.01143911862963	74.5872652081303	36.317542389089
116	sinting	S1	ultima	i	heavy	out-of-focus	non-final	0.097843994406276	284.521623652077	4.26270361827224	77.8728088851105	28.4173189491466
118	tungku	S1	penult	u	heavy	out-of-focus	non-final	0.055836359284399	249.939383470822	4.81958251931986	76.0426355324172	41.6280149066206
118	tungku	S1	ultima	u	heavy	out-of-focus	non-final	0.147406117384435	321.526595323912	11.9047906139339	76.7444180761499	37.8921692185914
119	tungku	S1	penult	u	heavy	out-of-focus	non-final	0.074053848096355	241.304017895257	2.94615794693409	75.7325335812465	38.3815560414016
119	tungku	S1	ultima	u	heavy	out-of-focus	non-final	0.215297907375543	338.947881510084	10.5747977649955	74.5506112803831	44.0166533783523
120	tungku	S1	penult	u	heavy	out-of-focus	non-final	0.063034385355877	250.786221930564	2.55265908932221	76.7984350432799	38.5050269630202
120	tungku	S1	ultima	u	heavy	out-of-focus	non-final	0.08942162574931	309.826680367519	9.02365120009883	76.3129086161905	32.2279322429848
121	tungku	S1	penult	u	heavy	out-of-focus	non-final	0.047209233440526	253.149160003333	4.79998645984845	75.2240079513381	31.7102095127741
121	tungku	S1	ultima	u	heavy	out-of-focus	non-final	0.195344689804983	310.326188951621	9.43538398725227	73.3285891279609	37.1267970293184
122	tuntun	S1	penult	u	heavy	in-focus	non-final	0.094829116209098	217.153050591246	-0.357247716468514	74.741837524298	39.7747869503341
122	tuntun	S1	ultima	u	heavy	in-focus	non-final	0.12006750272792	273.688231684999	-0.697247358948296	78.3512374325054	27.596721645044
124	tempe	S1	penult	e	heavy	in-focus	non-final	0.028691122558826	234.853761438733	6.51924177854866	77.5654658361847	32.6382696543978
124	tempe	S1	ultima	e	heavy	in-focus	non-final	0.130660552637551	305.153066037085	3.66088437184575	78.9350809342409	28.9468458618534
125	pipis	S1	penult	i	light	in-focus	non-final	0.07785898588088	236.266599166854	6.31829847392972	76.2260354700655	30.3390048330439
125	pipis	S1	ultima	i	light	in-focus	non-final	0.170416777777405	306.792364769231	1.63461553327865	81.3891885972576	25.6105483995542
126	pipis	S1	penult	i	light	in-focus	non-final	0.085593403646158	227.413943052596	1.58336960619718	76.6484465697921	34.8857870271739
126	pipis	S1	ultima	i	light	in-focus	non-final	0.147804212607298	314.374483924419	0.942907061946798	79.3929053009934	25.9575262806019
127	tungku	S1	penult	u	heavy	in-focus	non-final	0.070862003021944	237.679518954553	-0.308334628225481	77.695500007074	41.4618445942438
127	tungku	S1	ultima	u	heavy	in-focus	non-final	0.149477403022729	319.943649320726	11.06439980376	75.5040409389153	37.5717674040073
128	titi	S1	penult	i	light	in-focus	non-final	0.099555768462665	237.433848108053	8.59831989408143	76.1904565765468	29.2311890145997
128	titi	S1	ultima	i	light	in-focus	non-final	0.168223075905985	300.771567660012	14.214826683806	79.2581238854473	25.3005174757743
130	tungku	S1	penult	u	heavy	in-focus	non-final	0.066590394903415	239.113738867538	-2.19798672974751	77.9277551999426	39.3051415906154
130	tungku	S1	ultima	u	heavy	in-focus	non-final	0.115785163562009	301.859385961706	9.12700469668408	74.6569169463543	30.4763326124047
131	sinting	S1	penult	i	heavy	in-focus	non-final	0.078312166588262	240.614102636985	5.81820040212592	76.3412779809658	29.9716225333124
131	sinting	S1	ultima	i	heavy	in-focus	non-final	0.122283780778275	287.062165547159	1.11927367241383	80.3857589965349	24.4792368431651
132	sinting	S1	penult	i	heavy	in-focus	non-final	0.087432511382303	238.948939488718	6.59081420266627	75.2267449774919	30.6710749937156
132	sinting	S1	ultima	i	heavy	in-focus	non-final	0.065565699128797	289.567284820574	2.52605437752857	81.4738063463229	22.6833043372241
133	tungku	S1	penult	u	heavy	in-focus	non-final	0.074294853305673	239.0149414384	2.14797270111281	75.762351874642	37.7212815211032
